Place,Code,Link,URL
central african republic,l169206,destinations/central-african-republic-l169206/,https://www.getyourguide.com/destinations/central-african-republic-l169206/
chad,l169083,destinations/chad-l169083/,https://www.getyourguide.com/destinations/chad-l169083/
comoros,l169084,destinations/comoros-l169084/,https://www.getyourguide.com/destinations/comoros-l169084/
cote d ivoire,l169087,destinations/cote-d-ivoire-l169087/,https://www.getyourguide.com/destinations/cote-d-ivoire-l169087/
democratic republic of the congo,l169085,destinations/democratic-republic-of-the-congo-l169085/,https://www.getyourguide.com/destinations/democratic-republic-of-the-congo-l169085/
djibouti,l169210,destinations/djibouti-l169210/,https://www.getyourguide.com/destinations/djibouti-l169210/
egypt,l169049,destinations/egypt-l169049/,https://www.getyourguide.com/destinations/egypt-l169049/
equatorial guinea,l169211,destinations/equatorial-guinea-l169211/,https://www.getyourguide.com/destinations/equatorial-guinea-l169211/
eritrea,l169094,destinations/eritrea-l169094/,https://www.getyourguide.com/destinations/eritrea-l169094/
ethiopia,l169095,destinations/ethiopia-l169095/,https://www.getyourguide.com/destinations/ethiopia-l169095/
gabon,l169101,destinations/gabon-l169101/,https://www.getyourguide.com/destinations/gabon-l169101/
gambia,l169102,destinations/gambia-l169102/,https://www.getyourguide.com/destinations/gambia-l169102/
ghana,l169104,destinations/ghana-l169104/,https://www.getyourguide.com/destinations/ghana-l169104/
guinea,l169213,destinations/guinea-l169213/,https://www.getyourguide.com/destinations/guinea-l169213/
guinea bissau,l169214,destinations/guinea-bissau-l169214/,https://www.getyourguide.com/destinations/guinea-bissau-l169214/
kenya,l169122,destinations/kenya-l169122/,https://www.getyourguide.com/destinations/kenya-l169122/
lesotho,l169128,destinations/lesotho-l169128/,https://www.getyourguide.com/destinations/lesotho-l169128/
liberia,l169217,destinations/liberia-l169217/,https://www.getyourguide.com/destinations/liberia-l169217/
libya,l169129,destinations/libya-l169129/,https://www.getyourguide.com/destinations/libya-l169129/
madagascar,l169133,destinations/madagascar-l169133/,https://www.getyourguide.com/destinations/madagascar-l169133/
malawi,l169134,destinations/malawi-l169134/,https://www.getyourguide.com/destinations/malawi-l169134/
mali,l169218,destinations/mali-l169218/,https://www.getyourguide.com/destinations/mali-l169218/
mauritania,l169220,destinations/mauritania-l169220/,https://www.getyourguide.com/destinations/mauritania-l169220/
mauritius,l169137,destinations/mauritius-l169137/,https://www.getyourguide.com/destinations/mauritius-l169137/
mayotte,l169138,destinations/mayotte-l169138/,https://www.getyourguide.com/destinations/mayotte-l169138/
morocco,l169143,destinations/morocco-l169143/,https://www.getyourguide.com/destinations/morocco-l169143/
mozambique,l169144,destinations/mozambique-l169144/,https://www.getyourguide.com/destinations/mozambique-l169144/
namibia,l169146,destinations/namibia-l169146/,https://www.getyourguide.com/destinations/namibia-l169146/
niger,l169150,destinations/niger-l169150/,https://www.getyourguide.com/destinations/niger-l169150/
nigeria,l169151,destinations/nigeria-l169151/,https://www.getyourguide.com/destinations/nigeria-l169151/
republic of the congo,l169209,destinations/republic-of-the-congo-l169209/,https://www.getyourguide.com/destinations/republic-of-the-congo-l169209/
rwanda,l169163,destinations/rwanda-l169163/,https://www.getyourguide.com/destinations/rwanda-l169163/
reunion,l169161,destinations/reunion-l169161/,https://www.getyourguide.com/destinations/reunion-l169161/
saint helena,l169227,destinations/saint-helena-l169227/,https://www.getyourguide.com/destinations/saint-helena-l169227/
senegal,l169171,destinations/senegal-l169171/,https://www.getyourguide.com/destinations/senegal-l169171/
seychelles,l169173,destinations/seychelles-l169173/,https://www.getyourguide.com/destinations/seychelles-l169173/
sierra leone,l169229,destinations/sierra-leone-l169229/,https://www.getyourguide.com/destinations/sierra-leone-l169229/
somalia,l169175,destinations/somalia-l169175/,https://www.getyourguide.com/destinations/somalia-l169175/
south africa,l169050,destinations/south-africa-l169050/,https://www.getyourguide.com/destinations/south-africa-l169050/
south sudan,l169235,destinations/south-sudan-l169235/,https://www.getyourguide.com/destinations/south-sudan-l169235/
sudan,l169176,destinations/sudan-l169176/,https://www.getyourguide.com/destinations/sudan-l169176/
swaziland,l169179,destinations/swaziland-l169179/,https://www.getyourguide.com/destinations/swaziland-l169179/
sao tome and principe,l169170,destinations/sao-tome-and-principe-l169170/,https://www.getyourguide.com/destinations/sao-tome-and-principe-l169170/
tanzania,l169051,destinations/tanzania-l169051/,https://www.getyourguide.com/destinations/tanzania-l169051/
togo,l169183,destinations/togo-l169183/,https://www.getyourguide.com/destinations/togo-l169183/
tunisia,l169186,destinations/tunisia-l169186/,https://www.getyourguide.com/destinations/tunisia-l169186/
uganda,l169189,destinations/uganda-l169189/,https://www.getyourguide.com/destinations/uganda-l169189/
zambia,l169195,destinations/zambia-l169195/,https://www.getyourguide.com/destinations/zambia-l169195/
zimbabwe,l169196,destinations/zimbabwe-l169196/,https://www.getyourguide.com/destinations/zimbabwe-l169196/
bouvet island,l169203,destinations/bouvet-island-l169203/,https://www.getyourguide.com/destinations/bouvet-island-l169203/
french southern and antarctic lands,l169212,destinations/french-southern-and-antarctic-lands-l169212/,https://www.getyourguide.com/destinations/french-southern-and-antarctic-lands-l169212/
heard island and mcdonald islands,l169215,destinations/heard-island-and-mcdonald-islands-l169215/,https://www.getyourguide.com/destinations/heard-island-and-mcdonald-islands-l169215/
south georgia and the south sandwich islands,l169230,destinations/south-georgia-and-the-south-sandwich-islands-l169230/,https://www.getyourguide.com/destinations/south-georgia-and-the-south-sandwich-islands-l169230/
anguilla,l169058,destinations/anguilla-l169058/,https://www.getyourguide.com/destinations/anguilla-l169058/
antigua and barbuda,l169059,destinations/antigua-and-barbuda-l169059/,https://www.getyourguide.com/destinations/antigua-and-barbuda-l169059/
aruba,l169061,destinations/aruba-l169061/,https://www.getyourguide.com/destinations/aruba-l169061/
bahamas,l169063,destinations/bahamas-l169063/,https://www.getyourguide.com/destinations/bahamas-l169063/
barbados,l169066,destinations/barbados-l169066/,https://www.getyourguide.com/destinations/barbados-l169066/
belize,l169068,destinations/belize-l169068/,https://www.getyourguide.com/destinations/belize-l169068/
bermuda,l169070,destinations/bermuda-l169070/,https://www.getyourguide.com/destinations/bermuda-l169070/
bonaire,l169199,destinations/bonaire-l169199/,https://www.getyourguide.com/destinations/bonaire-l169199/
british virgin islands,l169075,destinations/british-virgin-islands-l169075/,https://www.getyourguide.com/destinations/british-virgin-islands-l169075/
canada,l168991,destinations/canada-l168991/,https://www.getyourguide.com/destinations/canada-l168991/
cayman islands,l169082,destinations/cayman-islands-l169082/,https://www.getyourguide.com/destinations/cayman-islands-l169082/
costa rica,l168995,destinations/costa-rica-l168995/,https://www.getyourguide.com/destinations/costa-rica-l168995/
cuba,l169089,destinations/cuba-l169089/,https://www.getyourguide.com/destinations/cuba-l169089/
curacao,l169198,destinations/curacao-l169198/,https://www.getyourguide.com/destinations/curacao-l169198/
dominica,l169090,destinations/dominica-l169090/,https://www.getyourguide.com/destinations/dominica-l169090/
dominican republic,l169091,destinations/dominican-republic-l169091/,https://www.getyourguide.com/destinations/dominican-republic-l169091/
el salvador,l169093,destinations/el-salvador-l169093/,https://www.getyourguide.com/destinations/el-salvador-l169093/
greenland,l169106,destinations/greenland-l169106/,https://www.getyourguide.com/destinations/greenland-l169106/
grenada,l169107,destinations/grenada-l169107/,https://www.getyourguide.com/destinations/grenada-l169107/
guadeloupe,l169108,destinations/guadeloupe-l169108/,https://www.getyourguide.com/destinations/guadeloupe-l169108/
guatemala,l169110,destinations/guatemala-l169110/,https://www.getyourguide.com/destinations/guatemala-l169110/
haiti,l169113,destinations/haiti-l169113/,https://www.getyourguide.com/destinations/haiti-l169113/
honduras,l169114,destinations/honduras-l169114/,https://www.getyourguide.com/destinations/honduras-l169114/
jamaica,l169118,destinations/jamaica-l169118/,https://www.getyourguide.com/destinations/jamaica-l169118/
martinique,l169136,destinations/martinique-l169136/,https://www.getyourguide.com/destinations/martinique-l169136/
mexico,l169001,destinations/mexico-l169001/,https://www.getyourguide.com/destinations/mexico-l169001/
montserrat,l169222,destinations/montserrat-l169222/,https://www.getyourguide.com/destinations/montserrat-l169222/
nicaragua,l169149,destinations/nicaragua-l169149/,https://www.getyourguide.com/destinations/nicaragua-l169149/
panama,l169156,destinations/panama-l169156/,https://www.getyourguide.com/destinations/panama-l169156/
